,Service Unit,0,Ambassador 1,Ambassador 2,Ambassador 3,Ambassador 4,Ambassador 5,Ambassador 6,Ambassador 7,Ambassador 8,Ambassador 9,Ambassador 10,Ambassador 11,Ambassador 12,Ambassador 13,Ambassador 14,Ambassador 15,,,
,Troop,0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
   Enter A for credit,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Pass It On!,,,,,,,,,,,,,,,,,,,"Share your talents and skills by teaching younger Girl Scouts something you learned to do as an Anbassador. 
This list has a few ideas to get you started. You only have to do one of these-or something like it-to complete the step."
,1,Share favorite things you did on a,, , , , ,, , , , , , , , , ,,,National Leadership Journey. Did you add a trip? Meet local experts? Do something specail when you earned your awards? Put together a special package or presentation to share advice and experiences with Seniors.
,2,Share with a group of Seniors your ,,,,,,,,,,,,,,,,,,favorite memories of being an Ambassador-your Take Action projects; trips; outings; friendships; and leadership lessons learned. As you help Seniors define what leadership means to them; reflect on how others helped you along the way.
,3,Inspire younger girls by helping them ,,,,,,,,,,,,,,,,,,earn badges or complete a Journey activity. You could also hold a fitness clinic; teach a dance class; take them geocaching; or pass on any other special skill you've learned as a Girl Scout.
,,, , , , , , , , , , , , , , , ,,,
,Look Ahead!,,,,,,,,,,,,,,,,,,,"More than 900;00 adults empower girls to become leaders through Girl Scouting. Talk to Girl Scout Adults to find out what inspires them and to get ideas about what you'd like to do.
This list has a few ideas to get you started. You only have to do one of these-or something like it-to complete the step."
,1,Get together with a Girl Scout adult. ,, , , , ,, , , , , , , , , ,,,This doesn't have to be formal. You can start a conversation at a pizza party; take a walk on the beach; have a movie night; or go on a camping trip. Ask your adult why she thinks the Girl Scou legacy has endured or what she considers the highlights of volnuteering.
,2,Hold an appriciation breakfast of lunch,,,,,,,,,,,,,,,,,,for Girl Scout adults who have supported you. Share your memeories; photos; or even a poem to tell them how much their help ment to you.
,3,Create a slide show of your best,,,,,,,,,,,,,,,,,,momentws in Girl Scouts. Add some music; then gather your friends; family; and the Girl Scout adults who influenced you to share your walk down memory lane.
,,, , , , , , , , , , , , , , , ,,,
,,Plan a Ceremony,,,,,,,,,,,,,,,,,,Congratulations! You've earned your Bridge to Girl Scout Adult Award! Celebrate with a favorite ceremony you learned in your time as a Girl Scout.
,,, , , , , , , , , , , , , , , ,,,
,,Status: (P)artial or (C)omplete, , , , , , , , , , , , , , , ,,,
