,Service Unit: , ,Junior 1,Junior 2,Junior 3,Junior 4,Junior 5,Junior 6,Junior 7,Junior 8,Junior 9,Junior 10,Junior 11,Junior 12,Junior 13,Junior 14,Junior 15
,Troop: ,0,,,,,,,,,,,,,,,
   Enter A for credit,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,Bronze Award,,,,,,,,,,,,,,
,1,Go on a Girl Scout Junior Journey,,,,,,,,,,,,,,,
,2,Build your Girl Scout Junior Team,,,,,,,,,,,,,,,
,3,Exploer your community,,,,,,,,,,,,,,,
,4,Choose your Bronze project,,,,,,,,,,,,,,,
,5,Make a plan,,,,,,,,,,,,,,,
,6,Put your plan in motion,,,,,,,,,,,,,,,
,7,Spread the word,,,,,,,,,,,,,,,
,,Status: (P)artial or (C)omplete, , , , , , , , , , , , , , , 
,,,,,,,,,,,,,,,,,
