It\'s Your World -- Change It!,,,,,,,,,,,,,,,,,,,,
,Computer Expert,,Every step has three choices. Do ONE choice to complete each step.,,,,,,,,,,,,,,,,,
,1,Paint or draw with an art program,,,,,,,,,,,,,,,,,,Just like a paintbrush; a computer can be a tool to make art. Movie animators; game makers; and people who design ads and take professional photos all use programs to make their art even better. Now it\'s your turn!
,,Paint a picture,,,,,,,,,,,,,,,,,,Paint a picture. Use a computer art program to make a picture of your favorite person or place. Use bright colors; shapes; and fun drawing tools. Then print it and share! If your computer doesn\'t have an art program; ask an adult to help you find a website that lets you paint or draw.
,,Create a cool card,,,,,,,,,,,,,,,,,,\"Create a cool card. Create a thank-you card with pictures on the front and a nice message inside. Give it to someone who\'s helped you. FOR MORE FUN: Make a birthday card; too.\"
,,Build a bookmark,,,,,,,,,,,,,,,,,,\"Build a bookmark. First; make an outline of the size you want (one inch wide and six inches long is a good place to start). Decorate it using an art program; then print it. Cover the bookmark in thick; clear tape to make it rip-proof and use it in your favorite book. FOR MORE FUN: Make special bookmarks for all your Brownie friends.\"
,2,Find some cool facts, , , , , , , , , , , , , , , ,,,The internet is like an encyclopedia that constantly changes and gets bigger. Use search engines to learn about a fun subject. (Search engines like Google and Bing use special math to quickly search the Web. They bring back links to articles; images; and videos related to what you typed.)
,,All about animals,,,,,,,,,,,,,,,,,,All about animals. Surfing the Internet is like visiting a digital zoo! Pick an animal you\'re interested in but don\'t know a lot about and use search engines to study it. Take notes as you read to create a Top 5 list of favorite facts to share.
,,Hometown history,,,,,,,,,,,,,,,,,,Hometown history. How much do you know about where you live? Use search engines to find out more about your hometown or the closest big city. Learn five fun facts to share with your Brownie friends.
,,Online art walk,,,,,,,,,,,,,,,,,,\"Online art walk. If you like art and visiting museums; then you\'ve got a whole world to explore online. Search for a famous art museum and then take their online tour. Once you know your way around; host an online tour for a friend or family member. FOR MORE FUN: Find an old doll or toy collection to see what your grandparents might have played with.\"
,3,Take a trip online, , , , , , , , , , , , , , , ,,,Just like a good book; the internet can take you across your town or across the world-without getting in the car or on a plane! Learn something new from a trip on the Web.
,,Road trip,,,,,,,,,,,,,,,,,,\"Road trip. Visit a mapping site on the Web. Find where you live on the map and zoom in to see how close you can get. Try the same thing with your school; a friend\'s house; and somewhere far away; like a relative\'s house in another state. FOR MORE FUN: Find directions from your house to a place you want to visit. How long would it take you to drive there?\"
,,World adventure,,,,,,,,,,,,,,,,,,\"World adventure. Pick another country you want to visit one day. Find information to make a short travel guide. Include facts on language; money; and major holidays. FOR MORE FUN: See if the country is home to Girl Scouts or your sister Girl Guides.\"
,,Blastoff!,,,,,,,,,,,,,,,,,,Blastoff! Use the Web to head into outer space! Pick any planet in our solar system and find five interesting facts about it; including how that planet got its name. Share what you find with your Brownie friends.
,4,Make a connection, , , , , , , , , , , , , , , ,,,E-mails. E-cards. Instant messages. Wall posts. Video chats. These are just some of the ways to keep in touch with friends and family on the Web. Try one for yourself!
,,Here is my card,,,,,,,,,,,,,,,,,,\"Here is my card. Search online for \"\"e-cards\"\" and you\'ll find dozens of sites that let you send free greeting cards designed for birthdays; holidays; or to just say hello. Send an e-card to three friends or relatives and let them know why they are important to you.\"
,,You\'ve got mail,,,,,,,,,,,,,,,,,,\"You\'ve got mail! Send thank-you notes by e-mail when a friend or family member gives you a gift or does something nice. Use either your own e-mail address or an adult\'s (with their permission).
FOR MORE FUN: Attach a picture of yourself in your Brownie vest or sash.\"
,,Dear President?,,,,,,,,,,,,,,,,,Dear President…Did you know you can send the president a message online? Search for the White House page on the Web; then write the president a message about what\'s important to you. (You could do this for a different elected official; too.)
,5,Have more computer fun, , , , , , , , , , , , , , , ,,,From downloading music and making art to playing silly games that take you on an adventure or make learning math or typing a blast; there are many more ways to have computer fun.
,,Game on,,,,,,,,,,,,,,,,,,Game on! Visit at least three kid-friendly gaming sites and play the most popular games. Talk about your favorites with your Brownie friends. How would you make the games more fun or more challenging?
,,Dance on,,,,,,,,,,,,,,,,,,\"Dance on! Create a five-song playlist that you can dance to at your next party or Brownie meeting.FOR MORE FUN: With an adult\'s help; download your favorite new song to add to your mix.\"
,,Print on,,,,,,,,,,,,,,,,,,Print on! Use a computer to create your own stationary with your name on top and patterns around the edges. Print a small stack and use it to send thank-you notes to cookie customers; invitations; or notes just because!
,My Best Self,,,,,,,,,,,,,,,,,,,
,1,Get to know your body,,,,,,,,,,,,,,,,,,\"Fill in the boxes about your \"\"elf self\"\" on the next page. Then add more fun details to the chart in one of these ways.\"
,,\"Color in your eyes, hair, and \",,,,,,,,,,,,,,,,,,\"Color in your eyes; hair; and favorite clothes. Share your elf self with your Brownie friends.FOR MORE FUN: Find out the meaning of your name; as girls did to earn the Scribe badge in 1940. Write the meaning in the details box!\"
,,Write on your elf self where you ,,,,,,,,,,,,,,,,,,Write on your elf self where you feel happy; hungry; tired; nervous; sad; angry; and thirsty. Do you get butterflies in your stomach when you\'re nervous? Do you get a big smile when you\'re happy?
,,Share how you\'re unique,,,,,,,,,,,,,,,,,,\"Share how you\'re unique! Some people have blue eyes; some brown; some have curly hair; some straight. People are interesting because they are different! Talk about the differences in your group\'s \"\"elf selves.\"\" FOR MORE FUN: Can you roll your tongue; cross your eyes; or wiggle your ears? Find these differences; too.\"
,2,Eat and play in a healthy way, , , , , , , , , , , , , , , ,,,First; look over the government food pyramid; which helps people know how to eat and exercise right. Then; use what you learn to add a healthy habit to your life. Get started in one of these ways.
,,Try three new foods that are good,,,,,,,,,,,,,,,,,,\"Try three new foods that are good for you. Pick them from different food groups. Talk with your Brownie friends about what they taste like; and decide on a way to eat them more often. FOR MORE FUN: Learn why three different vitamins are important for your body.\"
,,Try three different kinds of exercise,,,,,,,,,,,,,,,,,,\"Try three different kinds of exercise; such as jumping rope; playing soccer; or riding a bike. Do each one for 20 minutes; and choose your favorite. How could you do it three times a week? FOR MORE FUN: Have a workout party with friends.\"
,,Take a thirsty challenge,,,,,,,,,,,,,,,,,,Take a thirsty challenge. Try not to drink sweetened juice or soda for one week. These drinkds have added sugar that makes you feel full of energy; and then really tired. Instead; drink water; low-fat milk; or fun fizzy seltzer. Can you keep making healthy choices?
,3,Find out how your body works, , , , , , , , , , , , , , , ,,,Learn to spot clues that tell you when you need to take especially good care of yourself.
,,Talk about three common reasons,,,,,,,,,,,,,,,,,,\"Talk about three common reasons your \"\"tummy\"\" might hurt. What you might call your \"\"tummy\"\" or \"\"stomach\"\" is what doctors call your \"\"abdomen.\"\" What parts of it can act up and why? When you ask for help; it\'s good to have an idea of what might be wrong!\"
,,Learn about a healthy temperature,,,,,,,,,,,,,,,,,,Learn about a healthy temperature. When your temperature changes from a normal 98.6 degrees; it can mean you\'re sick. Team up with an adult to take your temperature; and learn two reasons why a temperature would be high; and two reasons it might be low.
,,Find out about bandages,,,,,,,,,,,,,,,,,,\"Find out about bandages. Look at five different sizes; shapes; and colors of bandages. Why are they different? What would you cover with each one? Then learn and share one fact about how your body makes its own bandages. FOR MORE FUN: Talk about what you can use if you are hurt and don\'t have a bandage.\"
,4,Know what to do if something bugs, , , , , , , , , , , , , , , ,,,Know what to do if something bugs you. Sometimes; you get a stomachache because you\'re nervous. Or you might feel shy when you\'re sad or have a hard time sleeping when you\'re angry. Luckily; there are things you can do to feel happy if something is bugging you!
,,\"Create a \"\"happy box\"\" with five\",,,,,,,,,,,,,,,,,,\"Create a \"\"happy box\"\" with five things that make you smile. Find a box or bag. Fill it with your favorite books and toys; soft things to hug; or photos of happy times or people you love. The next time you feel worried or upset; get out your box and smile.\"
,,\"Each day for one week, draw your\",,,,,,,,,,,,,,,,,,\"Each day for one week; draw your \"\"feeling faces.\"\" Do this in the morning; after school; and before you go to bed. Which time of day is your happiest? Why? Talk with your family; a teacher; or a librarian about how to make more times happy. Maybe by reading a story or playing catch? FOR MORE FUN: Share one of your pictures with your group and talk about why you drew that face.\"
,,Moving helps our bodies feel ,,,,,,,,,,,,,,,,,,Moving helps our bodies feel happier. When something bugs you during the next two weeks; try a fun movement-like skipping; hula hooping; or jumping jacks-for five minutes. Talk with a friend about which ones make you feel best. Keep notes so you can use them later.
,5,Meet a health helper, , , , , , , , , , , , , , , ,,,Sometimes you need someone else to help you stay healthy! Find out who can help you in your community.
,,\"Visit a doctor, dentist, or\",,,,,,,,,,,,,,,,,,Visit a doctor; dentist; or optometrist. Go to their office or invite them to speak to you. Ask what they do during an exam and how they help you stay healthy.
,,Visit with a school nurse or,,,,,,,,,,,,,,,,,,Visit with a school nurse or counselor. Find out what they do for students. What are some reasons students might need help?
,,Meet someone who works in an,,,,,,,,,,,,,,,,,,Meet someone who works in an ambulance. Find out what happens if someone has to go to the hospital in an ambulance. You might team up with an adult to see if an ambulance can come to your meeting.
,Dancer,,,,,,,,,,,,,,,,,,,
,1,Warm up and get moving,,,,,,,,,,,,,,,,,,Make sure your body is ready to move! Learn a 10-minute routine that will help your body get ready for dancing. Practice it before all the dancing you do in this badge.
,,Get flexible,,,,,,,,,,,,,,,,,,\"Get flexible. Do one stretch for each of these body parts: arms; wrists; legs; ankles; feet; stomach; back; and neck. Then make each letter of the alphabet with your body-try it with friends! FOR MORE FUN: Do your warm-up to a song!\"
,,Make your warm-up animal themed,,,,,,,,,,,,,,,,,,Make your warm-up animal themed. Move like a rabbit; a crab; a frog; a cheetah; or another favorite animal.
,,Use the music,,,,,,,,,,,,,,,,,,Use the music. Put on three different kinds of music and try all of these actions during your routine: running; walking; jumping; skipping; hopping; leaping; sliding; bending; lifting; rolling; twisting; and turning.
,2,Try a new dance, , , , , , , , , , , , , , , ,,,The world is full of snappy rhythms and amazing dances-from Chinese dragon dances and Latin cha-cha to West African welcome dances and all-American country line dancing. Try some steps new to you.
,,Do some famous moves,,,,,,,,,,,,,,,,,,\"Do some famous moves. Watch a dance performance or recital; a movie with dancing; or a TV dance show. Pay close attention to the steps so you can try your favorites. FOR MORE FUN: Find out what the dances are called and where they came from.\"
