Service Unit:,, ,Cadette 1,Cadette 2,Cadette 3,Cadette 4,Cadette 5,Cadette 6,Cadette 7,Cadette 8,Cadette 9,Cadette 10,Cadette 11,Cadette 12,Cadette 13,Cadette 14,Cadette 15,Cadette 16,Cadette 17,Cadette 18,Cadette 19,Cadette 20
Troop:,,0,,,,,,,,,,,,,,,,,,,,
   Enter A for credit,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Silver Award,,,,,,,,,,,,,,,,,,,,,
For Girls 11-13,,Reference:,Silver Requirements,,,,,,,,,,,,,,,,,,,
,Organize. Get Ready,,,,,,,,,,,,,,,,,,,,,
,1,Go on a Cadette Journey, , , , , , , , , , , , , , , , , , , , 
,2,Identify issues you care about,,,,,,,,,,,,,,,,,,,,
,3,Build your GS Silver Team or go solo,,,,,,,,,,,,,,,,,,,,
,4,Explore your community,,,,,,,,,,,,,,,,,,,,
,5,Pick your Take Action Project,,,,,,,,,,,,,,,,,,,,
,6,Develop your Project,,,,,,,,,,,,,,,,,,,,
,7,Make a plan and put it into motion,,,,,,,,,,,,,,,,,,,,
,8,"Reflect, share your story, and celebrate",,,,,,,,,,,,,,,,,,,,
,,Status: (P)artial or (C)omplete:, , , , , , , , , , , , , , , , , , , , 
,,,,,,,,,,,,,,,,,,,,,,
